model,provider,n_competencies,n_llm_calls,prompt_tokens,completion_tokens,total_tokens,latency_seconds,mean_latency_per_call,religious_bug_count,and_count_raw,mean_grounding,pct_perfect_grounding,mean_rationale_chars,mean_skills_per_comp,n_clusters_covered
gpt-5.4-mini,jatevo,12,10,11689,9485,21174,113.507,11.3507,0,339,1.0,100.0,572.9166666666666,5.416666666666667,7
gpt-5.5,jatevo,12,10,11689,12394,24083,468.459,46.8459,0,304,1.0,100.0,534.5,5.333333333333333,7
deepseek/deepseek-chat,openrouter,12,10,11959,5968,17927,198.625,19.8625,0,191,1.0,100.0,425.6666666666667,3.1666666666666665,5
anthropic/claude-sonnet-4.5,openrouter,12,10,13339,10048,23387,220.38,22.038,0,287,1.0,100.0,558.5833333333334,5.916666666666667,6
deepseek/deepseek-v3.2,openrouter,5,10,11969,9006,20975,530.25,53.025,36,243,0.9875,80.0,546.2,5.6,4
google/gemini-2.5-pro,openrouter,2,10,12540,19865,32405,664.909,66.4909,0,61,1.0,100.0,704.5,3.0,2
