cohesion_threshold,n_clusters,n_clusters_hpk,n_clusters_soft,n_hdbscan,n_recovered,n_split,n_dropped_low_cohesion,n_items_grouped,n_items_ungrouped,cohesion_mean,cohesion_median,cohesion_min,cohesion_max,runtime_seconds
0.4,15,12,3,5,2,10,0,383,2,0.6825,0.6648,0.5271,0.8863,2.28
0.45,15,12,3,5,2,10,0,383,2,0.6825,0.6648,0.5271,0.8863,0.22
0.5,15,12,3,5,2,10,0,383,2,0.6825,0.6648,0.5271,0.8863,0.21
0.55,13,10,3,5,2,7,0,318,28,0.706,0.7191,0.601,0.8863,0.2
0.6,13,10,3,5,2,7,0,318,28,0.706,0.7191,0.601,0.8863,0.21
0.65,6,4,2,4,2,0,1,88,116,0.7496,0.7292,0.6812,0.8863,0.15
